,Post,Link,Sentence,WhoAnswered
0,689,https://piazza.com/class/l7102doc7aa3ob/post/689,"quiz. 9 - neural language models use word-embedding models in their training..hi , when taught in class it was mentioned that a by product of neural language models was the word embeddings but i do not remember word embeddings to be involved in training. please can someone confirm this. thanks",question
1,689,https://piazza.com/class/l7102doc7aa3ob/post/689,"yeah,i also have the same question.",s_answer
2,689,https://piazza.com/class/l7102doc7aa3ob/post/689,"yes, word embedding are not used to rain word2vec. we only use one-hot vectors and then learn word embeddings as the weights of the two-layer network.",i_answer
3,689,https://piazza.com/class/l7102doc7aa3ob/post/689,so the question in quiz 9 should be false? the answer was true for the question: neural language models use word-embedding models in their training.,followup_question
4,689,https://piazza.com/class/l7102doc7aa3ob/post/689,"no, that question is not about the two-layer network we used to learn word embeddings. that network itself never is used as a neural language modelf. the question is about neural language models that receive word embeddings as their input. in short, you need to pay attention to the network that the question is asking about.",feedback
5,663,https://piazza.com/class/l7102doc7aa3ob/post/663,regarding random shuffling between epochs while training.i am getting better mean f1 scores for both vanilla and averaged perceptron without random shuffling the dataset between epochs while training. is shuffling between epochs mandatory while training? can i train the perceptron without shuffling the dataset?,question
6,663,https://piazza.com/class/l7102doc7aa3ob/post/663,i also did not use shuffling. i was able to get above baseline f1,followup_question
7,663,https://piazza.com/class/l7102doc7aa3ob/post/663,"not mandatory, but see @661",i_answer
8,638,https://piazza.com/class/l7102doc7aa3ob/post/638,"feature extraction and classifying using one model.since i use tfidf for feature extraction, i need to keep the bag of words in the model for feature extraction in classifying right? does that mean i also need to store the idf for each word calculated in training and load it for classification? since the testing data need the same idf for the words in my bag of words. (unseen words will be discarded)",question
9,638,https://piazza.com/class/l7102doc7aa3ob/post/638,you could. another option would be to put the idf weights into your leaned weight vectors.,i_answer
10,608,https://piazza.com/class/l7102doc7aa3ob/post/608,"feature vector for unseen words.as we are creating one-hot encoding to convert reviews into features, how can i handle any unseen words in the test dataset? should i skip the word? or is there any other better alternative?",question
11,608,https://piazza.com/class/l7102doc7aa3ob/post/608,"ignoring an unknown word is probably the simplest solution. alternatively, you can devise features that could be triggered by both known and unknown words.",i_answer
12,593,https://piazza.com/class/l7102doc7aa3ob/post/593,"is a parallel corpus required for statistical machine translation?.please correct me if i am wrong but as per my understanding the noisy channel model for machine translation being a statistical model does require a parallel corpus, right?",question
13,593,https://piazza.com/class/l7102doc7aa3ob/post/593,"the question about parallel corpus for the language model, not mt.",i_answer
